#Release 13.2 - par O.61xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Aug 21 23:17:19 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MUX4_hot_map.ncd
#OUTPUT FILE:      MUX4_hot_pad.csv
#PART TYPE:        xc5vlx330
#SPEED GRADE:      -2
#PACKAGE:          ff1760
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AV19,,IOBS,IO_L13N_33,UNUSED,,33,,,,,,,,,
AV20,,IOBS,IO_L10N_CC_33,UNUSED,,33,,,,,,,,,
AV21,,IOBM,IO_L10P_CC_33,UNUSED,,33,,,,,,,,,
AV22,,,GND,,,,,,,,,,,,
AV23,,IOBS,IO_L7N_33,UNUSED,,33,,,,,,,,,
AV24,,IOBM,IO_L7P_33,UNUSED,,33,,,,,,,,,
AV25,,IOBM,IO_L3P_33,UNUSED,,33,,,,,,,,,
AV26,,IOBM,IO_L1P_33,UNUSED,,33,,,,,,,,,
AV27,,,VCCO_2,,,2,,,,,any******,,,,
AV28,,IOBS,IO_L6N_33,UNUSED,,33,,,,,,,,,
AV29,,IOBM,IO_L0P_33,UNUSED,,33,,,,,,,,,
AV30,,IOBM,IO_L2P_33,UNUSED,,33,,,,,,,,,
AV31,,IOBM,IO_L10P_CC_25,UNUSED,,25,,,,,,,,,
AV32,,,GND,,,,,,,,,,,,
AV33,,IOBM,IO_L9P_CC_25,UNUSED,,25,,,,,,,,,
AV34,,IOBS,IO_L9N_CC_25,UNUSED,,25,,,,,,,,,
AV35,,IOBM,IO_L4P_25,UNUSED,,25,,,,,,,,,
AV36,,IOBS,IO_L4N_VREF_25,UNUSED,,25,,,,,,,,,
AV37,,,VCCO_29,,,29,,,,,any******,,,,
AV38,,IOBS,IO_L4N_VREF_21,UNUSED,,21,,,,,,,,,
AV39,,IOBM,IO_L4P_21,UNUSED,,21,,,,,,,,,
AV40,,IOBM,IO_L10P_CC_17,UNUSED,,17,,,,,,,,,
AV41,,IOBS,IO_L19N_13,UNUSED,,13,,,,,,,,,
AV42,,,GND,,,,,,,,,,,,
AW1,,IOBS,IO_L0N_30,UNUSED,,30,,,,,,,,,
AW2,,IOBM,IO_L1P_30,UNUSED,,30,,,,,,,,,
AW3,,IOBS,IO_L3N_30,UNUSED,,30,,,,,,,,,
AW4,,,VCCO_26,,,26,,,,,any******,,,,
AW5,,IOBS,IO_L5N_30,UNUSED,,30,,,,,,,,,
AW6,,IOBS,IO_L9N_CC_30,UNUSED,,30,,,,,,,,,
AW7,,IOBM,IO_L9P_CC_30,UNUSED,,30,,,,,,,,,
AW8,,IOBS,IO_L11N_CC_30,UNUSED,,30,,,,,,,,,
AW9,,,GND,,,,,,,,,,,,
AW10,,IOBS,IO_L13N_30,UNUSED,,30,,,,,,,,,
AW11,,IOBM,IO_L16P_30,UNUSED,,30,,,,,,,,,
AW12,,IOBS,IO_L16N_30,UNUSED,,30,,,,,,,,,
AW13,,IOBS,IO_L16N_33,UNUSED,,33,,,,,,,,,
AW14,,,VCCO_34,,,34,,,,,any******,,,,
AW15,,IOBM,IO_L19P_33,UNUSED,,33,,,,,,,,,
AW16,,IOBM,IO_L17P_33,UNUSED,,33,,,,,,,,,
AW17,,IOBM,IO_L15P_33,UNUSED,,33,,,,,,,,,
AW18,,IOBM,IO_L13P_33,UNUSED,,33,,,,,,,,,
AW19,,,GND,,,,,,,,,,,,
AW20,,IOBS,IO_L11N_CC_33,UNUSED,,33,,,,,,,,,
AW21,,IOBM,IO_L11P_CC_33,UNUSED,,33,,,,,,,,,
AW22,,IOBS,IO_L5N_33,UNUSED,,33,,,,,,,,,
AW23,,IOBM,IO_L5P_33,UNUSED,,33,,,,,,,,,
AW24,,,VCCO_6,,,6,,,,,any******,,,,
AW25,,IOBS,IO_L8N_CC_33,UNUSED,,33,,,,,,,,,
AW26,,IOBM,IO_L8P_CC_33,UNUSED,,33,,,,,,,,,
AW27,,IOBM,IO_L6P_33,UNUSED,,33,,,,,,,,,
AW28,,IOBS,IO_L0N_33,UNUSED,,33,,,,,,,,,
AW29,,,GND,,,,,,,,,,,,
AW30,,IOBS,IO_L2N_33,UNUSED,,33,,,,,,,,,
AW31,,IOBS,IO_L19N_29,UNUSED,,29,,,,,,,,,
AW32,,IOBS,IO_L15N_29,UNUSED,,29,,,,,,,,,
AW33,,IOBM,IO_L15P_29,UNUSED,,29,,,,,,,,,
AW34,,,VCCO_29,,,29,,,,,any******,,,,
AW35,,IOBS,IO_L11N_CC_29,UNUSED,,29,,,,,,,,,
AW36,,IOBS,IO_L9N_CC_29,UNUSED,,29,,,,,,,,,
AW37,,IOBS,IO_L6N_29,UNUSED,,29,,,,,,,,,
AW38,,IOBM,IO_L7P_29,UNUSED,,29,,,,,,,,,
AW39,,,GND,,,,,,,,,,,,
AW40,,IOBS,IO_L1N_29,UNUSED,,29,,,,,,,,,
AW41,,IOBM,IO_L1P_29,UNUSED,,29,,,,,,,,,
AW42,,IOBS,IO_L0N_29,UNUSED,,29,,,,,,,,,
AY1,,,GND,,,,,,,,,,,,
AY2,,IOBS,IO_L1N_30,UNUSED,,30,,,,,,,,,
AY3,,IOBM,IO_L3P_30,UNUSED,,30,,,,,,,,,
AY4,,IOBM,IO_L6P_30,UNUSED,,30,,,,,,,,,
AY5,,IOBM,IO_L5P_30,UNUSED,,30,,,,,,,,,
AY6,,,GND,,,,,,,,,,,,
AY7,,IOBM,IO_L11P_CC_30,UNUSED,,30,,,,,,,,,
AY8,,IOBM,IO_L15P_30,UNUSED,,30,,,,,,,,,
AY9,,IOBS,IO_L15N_30,UNUSED,,30,,,,,,,,,
AY10,,IOBM,IO_L13P_30,UNUSED,,30,,,,,,,,,
AY11,,,VCCO_34,,,34,,,,,any******,,,,
AY12,,IOBS,IO_L19N_30,UNUSED,,30,,,,,,,,,
AY13,,IOBM,IO_L19P_30,UNUSED,,30,,,,,,,,,
AY14,,IOBM,IO_L1P_34,UNUSED,,34,,,,,,,,,
AY15,,IOBS,IO_L1N_34,UNUSED,,34,,,,,,,,,
AY16,,,GND,,,,,,,,,,,,
AY17,,IOBM,IO_L7P_34,UNUSED,,34,,,,,,,,,
AY18,,IOBS,IO_L7N_34,UNUSED,,34,,,,,,,,,
AY19,,IOBM,IO_L6P_34,UNUSED,,34,,,,,,,,,
AY20,,IOBS,IO_L10N_CC_34,UNUSED,,34,,,,,,,,,
AY21,,,VCCO_6,,,6,,,,,any******,,,,
AY22,,IOBM,IO_L11P_CC_34,UNUSED,,34,,,,,,,,,
AY23,,IOBS,IO_L11N_CC_34,UNUSED,,34,,,,,,,,,
AY24,,IOBS,IO_L12N_VRP_34,UNUSED,,34,,,,,,,,,
AY25,,IOBM,IO_L12P_VRN_34,UNUSED,,34,,,,,,,,,
AY26,,,GND,,,,,,,,,,,,
AY27,,IOBM,IO_L17P_34,UNUSED,,34,,,,,,,,,
AY28,,IOBS,IO_L17N_34,UNUSED,,34,,,,,,,,,
AY29,,IOBS,IO_L19N_34,UNUSED,,34,,,,,,,,,
AY30,,IOBM,IO_L19P_29,UNUSED,,29,,,,,,,,,
AY31,,,VCCO_33,,,33,,,,,any******,,,,
AY32,,IOBM,IO_L16P_29,UNUSED,,29,,,,,,,,,
AY33,,IOBM,IO_L14P_29,UNUSED,,29,,,,,,,,,
AY34,,IOBS,IO_L14N_VREF_29,UNUSED,,29,,,,,,,,,
AY35,,IOBM,IO_L11P_CC_29,UNUSED,,29,,,,,,,,,
AY36,,,GND,,,,,,,,,,,,
AY37,,IOBM,IO_L9P_CC_29,UNUSED,,29,,,,,,,,,
AY38,,IOBM,IO_L6P_29,UNUSED,,29,,,,,,,,,
AY39,,IOBS,IO_L7N_29,UNUSED,,29,,,,,,,,,
AY40,,IOBM,IO_L2P_29,UNUSED,,29,,,,,,,,,
AY41,,,GND,,,,,,,,,,,,
AY42,,IOBM,IO_L0P_29,UNUSED,,29,,,,,,,,,
B1,,IOBS,IO_L17N_28,UNUSED,,28,,,,,,,,,
B2,,IOBS,IO_L18N_28,UNUSED,,28,,,,,,,,,
B3,,IOBM,IO_L16P_28,UNUSED,,28,,,,,,,,,
B4,,IOBM,IO_L13P_28,UNUSED,,28,,,,,,,,,
B5,,,GND,,,,,,,,,,,,
B6,,IOBM,IO_L9P_CC_28,UNUSED,,28,,,,,,,,,
B7,,IOBS,IO_L11N_CC_28,UNUSED,,28,,,,,,,,,
B8,,IOBS,IO_L8N_CC_28,UNUSED,,28,,,,,,,,,
B9,,IOBS,IO_L7N_28,UNUSED,,28,,,,,,,,,
B10,,,GND,,,,,,,,,,,,
B11,,IOBM,IO_L1P_28,UNUSED,,28,,,,,,,,,
B12,,IOBM,IO_L2P_28,UNUSED,,28,,,,,,,,,
B13,,IOBM,IO_L19P_32,UNUSED,,32,,,,,,,,,
B14,,IOBS,IO_L19N_32,UNUSED,,32,,,,,,,,,
B15,,,VCCO_32,,,32,,,,,any******,,,,
B16,,IOBM,IO_L17P_32,UNUSED,,32,,,,,,,,,
B17,,IOBM,IO_L15P_32,UNUSED,,32,,,,,,,,,
B18,,IOBS,IO_L15N_32,UNUSED,,32,,,,,,,,,
B19,,IOBS,IO_L12N_VRP_32,UNUSED,,32,,,,,,,,,
B20,,,GND,,,,,,,,,,,,
B21,,IOBS,IO_L10N_CC_32,UNUSED,,32,,,,,,,,,
B22,,IOBS,IO_L8N_CC_32,UNUSED,,32,,,,,,,,,
B23,,IOBM,IO_L6P_32,UNUSED,,32,,,,,,,,,
B24,,IOBM,IO_L4P_32,UNUSED,,32,,,,,,,,,
B25,,,VCCO_5,,,5,,,,,any******,,,,
B26,,IOBS,IO_L7N_32,UNUSED,,32,,,,,,,,,
B27,,IOBM,IO_L1P_32,UNUSED,,32,,,,,,,,,
B28,,IOBM,IO_L3P_32,UNUSED,,32,,,,,,,,,
B29,,IOBS,IO_L0N_32,UNUSED,,32,,,,,,,,,
B30,,,GND,,,,,,,,,,,,
B31,,IOBM,IO_L1P_27,UNUSED,,27,,,,,,,,,
B32,,IOBS,IO_L3N_27,UNUSED,,27,,,,,,,,,
B33,,IOBM,IO_L4P_27,UNUSED,,27,,,,,,,,,
B34,,IOBS,IO_L6N_27,UNUSED,,27,,,,,,,,,
B35,,,VCCO_27,,,27,,,,,any******,,,,
B36,,IOBS,IO_L11N_CC_27,UNUSED,,27,,,,,,,,,
B37,,IOBM,IO_L11P_CC_27,UNUSED,,27,,,,,,,,,
B38,,IOBS,IO_L14N_VREF_27,UNUSED,,27,,,,,,,,,
B39,,IOBM,IO_L14P_27,UNUSED,,27,,,,,,,,,
B40,,,GND,,,,,,,,,,,,
B41,,IOBS,IO_L16N_27,UNUSED,,27,,,,,,,,,
B42,,IOBM,IO_L17P_27,UNUSED,,27,,,,,,,,,
BA1,,IOBM,IO_L2P_30,UNUSED,,30,,,,,,,,,
BA2,,IOBS,IO_L2N_30,UNUSED,,30,,,,,,,,,
BA3,,,GND,,,,,,,,,,,,
BA4,,IOBS,IO_L6N_30,UNUSED,,30,,,,,,,,,
BA5,,IOBM,IO_L7P_30,UNUSED,,30,,,,,,,,,
BA6,,IOBS,IO_L10N_CC_30,UNUSED,,30,,,,,,,,,
BA7,,IOBS,IO_L8N_CC_30,UNUSED,,30,,,,,,,,,
BA8,,,VCCO_30,,,30,,,,,any******,,,,
BA9,,IOBS,IO_L12N_VRP_30,UNUSED,,30,,,,,,,,,
BA10,,IOBS,IO_L14N_VREF_30,UNUSED,,30,,,,,,,,,
BA11,,IOBS,IO_L18N_30,UNUSED,,30,,,,,,,,,
BA12,,IOBM,IO_L17P_30,UNUSED,,30,,,,,,,,,
BA13,,,GND,,,,,,,,,,,,
BA14,,IOBS,IO_L0N_34,UNUSED,,34,,,,,,,,,
BA15,,IOBM,IO_L3P_34,UNUSED,,34,,,,,,,,,
BA16,,IOBS,IO_L2N_34,UNUSED,,34,,,,,,,,,
BA17,,IOBS,IO_L5N_34,UNUSED,,34,,,,,,,,,
BA18,,,VCCO_4,,,4,,,,,any******,,,,
BA19,,IOBS,IO_L6N_34,UNUSED,,34,,,,,,,,,
BA20,,IOBM,IO_L10P_CC_34,UNUSED,,34,,,,,,,,,
BA21,,IOBM,IO_L8P_CC_34,UNUSED,,34,,,,,,,,,
BA22,,IOBS,IO_L8N_CC_34,UNUSED,,34,,,,,,,,,
BA23,,,GND,,,,,,,,,,,,
BA24,,IOBS,IO_L13N_34,UNUSED,,34,,,,,,,,,
BA25,,IOBS,IO_L15N_34,UNUSED,,34,,,,,,,,,
BA26,,IOBS,IO_L14N_VREF_34,UNUSED,,34,,,,,,,,,
BA27,,IOBM,IO_L16P_34,UNUSED,,34,,,,,,,,,
BA28,,,VCCO_33,,,33,,,,,any******,,,,
BA29,,IOBM,IO_L19P_34,UNUSED,,34,,,,,,,,,
BA30,,IOBM,IO_L18P_29,UNUSED,,29,,,,,,,,,
BA31,,IOBS,IO_L18N_29,UNUSED,,29,,,,,,,,,
BA32,,IOBS,IO_L16N_29,UNUSED,,29,,,,,,,,,
BA33,,,GND,,,,,,,,,,,,
BA34,,IOBS,IO_L13N_29,UNUSED,,29,,,,,,,,,
BA35,,IOBS,IO_L12N_VRP_29,UNUSED,,29,,,,,,,,,
BA36,,IOBS,IO_L10N_CC_29,UNUSED,,29,,,,,,,,,
BA37,,IOBS,IO_L8N_CC_29,UNUSED,,29,,,,,,,,,
BA38,,,GND,,,,,,,,,,,,
BA39,,IOBS,IO_L5N_29,UNUSED,,29,,,,,,,,,
BA40,,IOBM,IO_L4P_29,UNUSED,,29,,,,,,,,,
BA41,,IOBS,IO_L2N_29,UNUSED,,29,,,,,,,,,
BA42,,IOBM,IO_L3P_29,UNUSED,,29,,,,,,,,,
BB2,,IOBM,IO_L4P_30,UNUSED,,30,,,,,,,,,
BB3,,IOBS,IO_L4N_VREF_30,UNUSED,,30,,,,,,,,,
BB4,,IOBS,IO_L7N_30,UNUSED,,30,,,,,,,,,
BB5,,,GND,,,,,,,,,,,,
BB6,,IOBM,IO_L10P_CC_30,UNUSED,,30,,,,,,,,,
BB7,,IOBM,IO_L8P_CC_30,UNUSED,,30,,,,,,,,,
BB8,,IOBM,IO_L12P_VRN_30,UNUSED,,30,,,,,,,,,
BB9,,IOBM,IO_L14P_30,UNUSED,,30,,,,,,,,,
BB10,,,GND,,,,,,,,,,,,
BB11,,IOBM,IO_L18P_30,UNUSED,,30,,,,,,,,,
BB12,,IOBS,IO_L17N_30,UNUSED,,30,,,,,,,,,
BB13,,IOBM,IO_L0P_34,UNUSED,,34,,,,,,,,,
BB14,,IOBS,IO_L3N_34,UNUSED,,34,,,,,,,,,
BB15,,,GND,,,,,,,,,,,,
BB16,,IOBM,IO_L2P_34,UNUSED,,34,,,,,,,,,
BB17,,IOBM,IO_L5P_34,UNUSED,,34,,,,,,,,,
BB18,,IOBM,IO_L4P_34,UNUSED,,34,,,,,,,,,
BB19,,IOBS,IO_L4N_VREF_34,UNUSED,,34,,,,,,,,,
BB20,,,GND,,,,,,,,,,,,
BB21,,IOBM,IO_L9P_CC_34,UNUSED,,34,,,,,,,,,
BB22,,IOBS,IO_L9N_CC_34,UNUSED,,34,,,,,,,,,
BB23,,IOBM,IO_L13P_34,UNUSED,,34,,,,,,,,,
BB24,,IOBM,IO_L15P_34,UNUSED,,34,,,,,,,,,
BB25,,,GND,,,,,,,,,,,,
BB26,,IOBM,IO_L14P_34,UNUSED,,34,,,,,,,,,
BB27,,IOBS,IO_L16N_34,UNUSED,,34,,,,,,,,,
BB28,,IOBS,IO_L18N_34,UNUSED,,34,,,,,,,,,
BB29,,IOBM,IO_L18P_34,UNUSED,,34,,,,,,,,,
BB30,,,GND,,,,,,,,,,,,
BB31,,IOBS,IO_L17N_29,UNUSED,,29,,,,,,,,,
BB32,,IOBM,IO_L17P_29,UNUSED,,29,,,,,,,,,
BB33,,IOBM,IO_L13P_29,UNUSED,,29,,,,,,,,,
BB34,,IOBM,IO_L12P_VRN_29,UNUSED,,29,,,,,,,,,
BB35,,,GND,,,,,,,,,,,,
BB36,,IOBM,IO_L10P_CC_29,UNUSED,,29,,,,,,,,,
BB37,,IOBM,IO_L8P_CC_29,UNUSED,,29,,,,,,,,,
BB38,,IOBM,IO_L5P_29,UNUSED,,29,,,,,,,,,
BB39,,IOBS,IO_L4N_VREF_29,UNUSED,,29,,,,,,,,,
BB40,,,GND,,,,,,,,,,,,
BB41,,IOBS,IO_L3N_29,UNUSED,,29,,,,,,,,,
C1,,IOBM,IO_L17P_28,UNUSED,,28,,,,,,,,,
C2,,,GND,,,,,,,,,,,,
C3,,IOBS,IO_L16N_28,UNUSED,,28,,,,,,,,,
C4,,IOBS,IO_L15N_28,UNUSED,,28,,,,,,,,,
C5,,IOBM,IO_L14P_28,UNUSED,,28,,,,,,,,,
C6,,IOBS,IO_L9N_CC_28,UNUSED,,28,,,,,,,,,
C7,,,GND,,,,,,,,,,,,
C8,,IOBM,IO_L8P_CC_28,UNUSED,,28,,,,,,,,,
C9,,IOBM,IO_L4P_28,UNUSED,,28,,,,,,,,,
C10,,IOBM,IO_L6P_28,UNUSED,,28,,,,,,,,,
C11,,IOBS,IO_L1N_28,UNUSED,,28,,,,,,,,,
C12,,,VCCO_32,,,32,,,,,any******,,,,
C13,,IOBM,IO_L0P_28,UNUSED,,28,,,,,,,,,
C14,,IOBM,IO_L18P_32,UNUSED,,32,,,,,,,,,
C15,,IOBS,IO_L18N_32,UNUSED,,32,,,,,,,,,
C16,,IOBS,IO_L17N_32,UNUSED,,32,,,,,,,,,
C17,,,GND,,,,,,,,,,,,
C18,,IOBM,IO_L13P_32,UNUSED,,32,,,,,,,,,
C19,,IOBS,IO_L13N_32,UNUSED,,32,,,,,,,,,
C20,,IOBS,IO_L9N_CC_32,UNUSED,,32,,,,,,,,,
C21,,IOBM,IO_L9P_CC_32,UNUSED,,32,,,,,,,,,
C22,,,VCCO_5,,,5,,,,,any******,,,,
C23,,IOBM,IO_L8P_CC_32,UNUSED,,32,,,,,,,,,
C24,,IOBM,IO_L5P_32,UNUSED,,32,,,,,,,,,
C25,,IOBS,IO_L5N_32,UNUSED,,32,,,,,,,,,
C26,,IOBM,IO_L7P_32,UNUSED,,32,,,,,,,,,
C27,,,GND,,,,,,,,,,,,
C28,,IOBS,IO_L2N_32,UNUSED,,32,,,,,,,,,
C29,,IOBM,IO_L2P_32,UNUSED,,32,,,,,,,,,
C30,,IOBS,IO_L1N_27,UNUSED,,27,,,,,,,,,
C31,,IOBS,IO_L0N_27,UNUSED,,27,,,,,,,,,
C32,,,VCCO_27,,,27,,,,,any******,,,,
C33,,IOBS,IO_L4N_VREF_27,UNUSED,,27,,,,,,,,,
C34,,IOBM,IO_L6P_27,UNUSED,,27,,,,,,,,,
C35,,IOBS,IO_L9N_CC_27,UNUSED,,27,,,,,,,,,
C36,,IOBM,IO_L9P_CC_27,UNUSED,,27,,,,,,,,,
C37,,,GND,,,,,,,,,,,,
C38,,IOBM,IO_L12P_VRN_27,UNUSED,,27,,,,,,,,,
C39,,IOBM,IO_L13P_27,UNUSED,,27,,,,,,,,,
C40,,IOBS,IO_L13N_27,UNUSED,,27,,,,,,,,,
C41,,IOBS,IO_L17N_27,UNUSED,,27,,,,,,,,,
C42,,,GND,,,,,,,,,,,,
D1,,IOBM,IO_L19P_28,UNUSED,,28,,,,,,,,,
D2,,IOBS,IO_L19N_28,UNUSED,,28,,,,,,,,,
D3,,IOBM,IO_L15P_28,UNUSED,,28,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,,IOBS,IO_L14N_VREF_28,UNUSED,,28,,,,,,,,,
D6,,IOBS,IO_L10N_CC_28,UNUSED,,28,,,,,,,,,
D7,,IOBM,IO_L10P_CC_28,UNUSED,,28,,,,,,,,,
D8,,IOBS,IO_L4N_VREF_28,UNUSED,,28,,,,,,,,,
D9,,,VCCO_28,,,28,,,,,any******,,,,
D10,,IOBS,IO_L6N_28,UNUSED,,28,,,,,,,,,
D11,,IOBM,IO_L3P_28,UNUSED,,28,,,,,,,,,
D12,,IOBS,IO_L3N_28,UNUSED,,28,,,,,,,,,
D13,,IOBS,IO_L0N_28,UNUSED,,28,,,,,,,,,
D14,,,GND,,,,,,,,,,,,
D15,,IOBS,IO_L0N_31,UNUSED,,31,,,,,,,,,
D16,,IOBM,IO_L2P_31,UNUSED,,31,,,,,,,,,
D17,,IOBS,IO_L2N_31,UNUSED,,31,,,,,,,,,
D18,,IOBM,IO_L6P_31,UNUSED,,31,,,,,,,,,
D19,,,VCCO_7,,,7,,,,,any******,,,,
D20,,IOBS,IO_L9N_CC_31,UNUSED,,31,,,,,,,,,
D21,,IOBM,IO_L9P_CC_31,UNUSED,,31,,,,,,,,,
D22,,IOBM,IO_L8P_CC_31,UNUSED,,31,,,,,,,,,
D23,,IOBS,IO_L8N_CC_31,UNUSED,,31,,,,,,,,,
D24,,,GND,,,,,,,,,,,,
D25,,IOBM,IO_L12P_VRN_31,UNUSED,,31,,,,,,,,,
D26,,IOBS,IO_L12N_VRP_31,UNUSED,,31,,,,,,,,,
D27,,IOBM,IO_L17P_31,UNUSED,,31,,,,,,,,,
D28,,IOBS,IO_L17N_31,UNUSED,,31,,,,,,,,,
D29,,,VCCO_31,,,31,,,,,any******,,,,
D30,,IOBM,IO_L19P_31,UNUSED,,31,,,,,,,,,
D31,,IOBM,IO_L0P_27,UNUSED,,27,,,,,,,,,
D32,,IOBM,IO_L5P_27,UNUSED,,27,,,,,,,,,
D33,,IOBS,IO_L5N_27,UNUSED,,27,,,,,,,,,
D34,,,GND,,,,,,,,,,,,
D35,,IOBM,IO_L8P_CC_27,UNUSED,,27,,,,,,,,,
D36,,IOBS,IO_L8N_CC_27,UNUSED,,27,,,,,,,,,
D37,I4<13>,IOB,IO_L15N_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
D38,,IOBS,IO_L12N_VRP_27,UNUSED,,27,,,,,,,,,
D39,,,VCCO_23,,,23,,,,,any******,,,,
D40,,IOBM,IO_L18P_27,UNUSED,,27,,,,,,,,,
D41,,IOBS,IO_L18N_27,UNUSED,,27,,,,,,,,,
D42,,IOBS,IO_L19N_27,UNUSED,,27,,,,,,,,,
E1,,,GND,,,,,,,,,,,,
E2,,IOBM,IO_L0P_12,UNUSED,,12,,,,,,,,,
E3,,IOBM,IO_L1P_16,UNUSED,,16,,,,,,,,,
E4,,IOBS,IO_L1N_16,UNUSED,,16,,,,,,,,,
E5,,IOBS,IO_L1N_20,UNUSED,,20,,,,,,,,,
E6,,,VCCO_28,,,28,,,,,any******,,,,
E7,,IOBM,IO_L18P_24,UNUSED,,24,,,,,,,,,
E8,,IOBS,IO_L18N_24,UNUSED,,24,,,,,,,,,
E9,,IOBS,IO_L14N_VREF_24,UNUSED,,24,,,,,,,,,
E10,,IOBM,IO_L14P_24,UNUSED,,24,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,IOBM,IO_L10P_CC_24,UNUSED,,24,,,,,,,,,
E13,,IOBS,IO_L10N_CC_24,UNUSED,,24,,,,,,,,,
E14,,IOBM,IO_L0P_31,UNUSED,,31,,,,,,,,,
E15,,IOBM,IO_L1P_31,UNUSED,,31,,,,,,,,,
E16,,,VCCO_1,,,1,,,,,any******,,,,
E17,,IOBS,IO_L4N_VREF_31,UNUSED,,31,,,,,,,,,
E18,,IOBS,IO_L6N_31,UNUSED,,31,,,,,,,,,
E19,,IOBM,IO_L7P_31,UNUSED,,31,,,,,,,,,
E20,,IOBM,IO_L5P_31,UNUSED,,31,,,,,,,,,
E21,,,GND,,,,,,,,,,,,
E22,,IOBS,IO_L10N_CC_31,UNUSED,,31,,,,,,,,,
E23,,IOBM,IO_L11P_CC_31,UNUSED,,31,,,,,,,,,
E24,,IOBM,IO_L13P_31,UNUSED,,31,,,,,,,,,
E25,,IOBS,IO_L13N_31,UNUSED,,31,,,,,,,,,
E26,,,VCCO_3,,,3,,,,,any******,,,,
E27,,IOBS,IO_L14N_VREF_31,UNUSED,,31,,,,,,,,,
E28,,IOBS,IO_L16N_31,UNUSED,,31,,,,,,,,,
E29,,IOBM,IO_L16P_31,UNUSED,,31,,,,,,,,,
E30,,IOBS,IO_L19N_31,UNUSED,,31,,,,,,,,,
E31,,,GND,,,,,,,,,,,,
E32,,IOBM,IO_L11P_CC_23,UNUSED,,23,,,,,,,,,
E33,,IOBS,IO_L11N_CC_23,UNUSED,,23,,,,,,,,,
E34,,IOBM,IO_L9P_CC_23,UNUSED,,23,,,,,,,,,
E35,,IOBS,IO_L8N_CC_23,UNUSED,,23,,,,,,,,,
E36,,,VCCO_23,,,23,,,,,any******,,,,
E37,Z<14>,IOB,IO_L14N_VREF_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
E38,I1<0>,IOB,IO_L15P_19,INPUT,LVCMOS25*,19,,,,NONE,,UNLOCATED,NO,NONE,
E39,Z<25>,IOB,IO_L3P_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E40,Z<12>,IOB,IO_L3N_15,OUTPUT,LVCMOS25*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E41,,,GND,,,,,,,,,,,,
E42,,IOBM,IO_L19P_27,UNUSED,,27,,,,,,,,,
F1,,IOBS,IO_L1N_12,UNUSED,,12,,,,,,,,,
F2,,IOBS,IO_L0N_12,UNUSED,,12,,,,,,,,,
F3,,,VCCO_24,,,24,,,,,any******,,,,
F4,,IOBS,IO_L0N_16,UNUSED,,16,,,,,,,,,
F5,,IOBM,IO_L1P_20,UNUSED,,20,,,,,,,,,
F6,,IOBS,IO_L0N_20,UNUSED,,20,,,,,,,,,
F7,,IOBM,IO_L19P_24,UNUSED,,24,,,,,,,,,
F8,,,GND,,,,,,,,,,,,
F9,,IOBM,IO_L15P_24,UNUSED,,24,,,,,,,,,
F10,,IOBM,IO_L12P_VRN_24,UNUSED,,24,,,,,,,,,
F11,,IOBS,IO_L12N_VRP_24,UNUSED,,24,,,,,,,,,
F12,,IOBM,IO_L11P_CC_24,UNUSED,,24,,,,,,,,,
F13,,,VCCO_32,,,32,,,,,any******,,,,
F14,,IOBS,IO_L1N_31,UNUSED,,31,,,,,,,,,
F15,,IOBS,IO_L3N_31,UNUSED,,31,,,,,,,,,
F16,,IOBM,IO_L3P_31,UNUSED,,31,,,,,,,,,
F17,,IOBM,IO_L4P_31,UNUSED,,31,,,,,,,,,
F18,,,GND,,,,,,,,,,,,
F19,,IOBS,IO_L7N_31,UNUSED,,31,,,,,,,,,
F20,,IOBS,IO_L5N_31,UNUSED,,31,,,,,,,,,
F21,,IOBM,IO_L10P_CC_31,UNUSED,,31,,,,,,,,,
F22,,IOBS,IO_L11N_CC_7,UNUSED,,7,,,,,,,,,
F23,,,VCCO_5,,,5,,,,,any******,,,,
F24,,IOBS,IO_L11N_CC_31,UNUSED,,31,,,,,,,,,
F25,,IOBS,IO_L15N_31,UNUSED,,31,,,,,,,,,
F26,,IOBM,IO_L15P_31,UNUSED,,31,,,,,,,,,
F27,,IOBM,IO_L14P_31,UNUSED,,31,,,,,,,,,
F28,,,GND,,,,,,,,,,,,
F29,,IOBS,IO_L18N_31,UNUSED,,31,,,,,,,,,
F30,,IOBM,IO_L18P_31,UNUSED,,31,,,,,,,,,
